epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,145.613,2.04686,1.34006,0.00773,0.64856,0.52703,0.5458,0.31983,1.61038,1.11746,0.00897,9.97868e-05,9.97868e-05,0.0668375
2,198.927,1.90726,1.18912,0.00677,0.67602,0.57708,0.59216,0.3636,1.44489,1.02691,0.00797,0.000199738,0.000199738,0.0336041
3,253.801,1.86634,1.13772,0.00639,0.70906,0.59889,0.61997,0.38351,1.36435,0.87751,0.00747,0.000299494,0.000299494,0.000370567
4,307.749,1.79091,1.09205,0.00615,0.69035,0.60422,0.61511,0.38064,1.36402,0.85971,0.00739,0.000299341,0.000299341,0.000299341
5,361.308,1.80461,1.0875,0.00602,0.70598,0.61032,0.62307,0.38772,1.35587,0.87554,0.00743,0.000298829,0.000298829,0.000298829
6,414.953,1.79066,1.07531,0.00594,0.70563,0.6116,0.62726,0.3881,1.36156,0.88668,0.00743,0.000298172,0.000298172,0.000298172
7,468.163,1.76884,1.05092,0.00591,0.71206,0.61186,0.62681,0.38885,1.36813,0.88006,0.0074,0.00029737,0.00029737,0.00029737
8,521.574,1.75569,1.0584,0.00599,0.69885,0.61572,0.63049,0.39221,1.33415,0.89971,0.00729,0.000296424,0.000296424,0.000296424
9,569.52,1.76468,1.04498,0.00586,0.71796,0.6069,0.62814,0.38981,1.36409,0.88921,0.00749,0.000295335,0.000295335,0.000295335
10,623.057,1.74347,1.04071,0.00593,0.70748,0.6157,0.62941,0.3936,1.32555,0.85982,0.00716,0.000294104,0.000294104,0.000294104
11,670.988,1.76728,1.04621,0.00583,0.71887,0.61862,0.6344,0.39579,1.31972,0.83783,0.00711,0.000292732,0.000292732,0.000292732
12,721.67,1.75301,1.03577,0.0058,0.72052,0.61112,0.63174,0.39552,1.33029,0.85918,0.00709,0.000291221,0.000291221,0.000291221
13,774.38,1.72794,1.0161,0.0057,0.72643,0.60985,0.63294,0.39527,1.33919,0.85147,0.00726,0.000289572,0.000289572,0.000289572
14,825.681,1.74737,1.02901,0.00569,0.71833,0.61156,0.63153,0.39226,1.34958,0.86746,0.00733,0.000287787,0.000287787,0.000287787
15,879.043,1.71286,1.00581,0.00565,0.70783,0.61739,0.63337,0.39305,1.33564,0.87541,0.00713,0.000285867,0.000285867,0.000285867
16,929.897,1.7132,1.00638,0.00569,0.71578,0.61061,0.63043,0.39518,1.31745,0.84694,0.00712,0.000283814,0.000283814,0.000283814
17,977.525,1.73935,1.01485,0.0057,0.7086,0.61821,0.63206,0.39358,1.33797,0.90229,0.00721,0.000281632,0.000281632,0.000281632
