timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags,rss_mb
2026-08-14T12:14:10+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,2.441,1,30,12.293,81.713,89.116,57.85,2400.0,,920.344
2026-08-14T12:14:13+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,4.743,2,30,13.099,78.968,102.395,60.05,2400.0,,921.016
2026-08-14T12:14:15+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,6.966,3,30,13.508,68.92,89.556,61.7,2400.0,,923.578
2026-08-14T12:14:17+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,9.335,4,30,12.682,80.875,107.357,62.25,2400.0,,925.266
2026-08-14T12:14:20+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,11.812,5,30,12.125,81.665,83.994,62.8,2400.0,,923.641
2026-08-14T12:14:22+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,14.333,6,30,11.912,81.917,101.516,63.9,2400.0,,925.266
2026-08-14T12:14:25+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,16.674,7,30,12.829,81.665,105.764,63.9,2400.0,,925.312
2026-08-14T12:14:27+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,18.761,8,30,14.393,66.21,84.986,65.0,2400.0,,923.688
2026-08-14T12:14:29+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,20.975,9,30,13.564,75.709,83.011,64.45,2400.0,,923.688
2026-08-14T12:14:31+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,23.312,10,30,12.846,80.711,102.595,66.1,2400.0,,925.312
2026-08-14T12:14:33+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,25.442,11,30,14.099,74.887,83.721,66.65,2400.0,,923.703
2026-08-14T12:14:36+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,27.709,12,30,13.252,80.92,83.901,66.1,2400.0,,925.328
2026-08-14T12:14:38+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,30.127,13,30,12.42,80.952,102.82,67.75,2400.0,,923.719
2026-08-14T12:14:41+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,32.747,14,30,11.457,84.288,106.554,67.2,2400.0,,925.344
2026-08-14T12:14:43+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,35.264,15,30,11.933,80.938,106.112,66.65,2400.0,,922.859
2026-08-14T12:14:45+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,37.383,16,30,14.174,66.211,85.466,67.75,2400.0,,923.5
2026-08-14T12:14:48+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,39.516,17,30,14.079,65.916,102.463,67.75,2400.0,,925.297
2026-08-14T12:14:50+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,41.974,18,30,12.217,83.598,100.469,68.85,2400.0,,925.328
2026-08-14T12:14:52+00:00,Raspberry Pi 5 Model B Rev 1.1,yolo26n.pt,320,pytorch,cpu,4,44.223,19,30,13.353,67.637,96.993,67.2,2400.0,,926.531
