epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5623,2.14119,2.70359,1.48775,0.38464,0.19944,0.16302,0.0519,2.44536,3.04807,1.73439,0.000472979,0.000472979,0.000472979
2,59.7247,1.99778,2.02897,1.43556,0.34399,0.29618,0.23259,0.10264,1.91056,3.00796,1.38991,0.000933649,0.000933649,0.000933649
3,83.0177,1.99351,1.90493,1.43284,0.32161,0.2681,0.20033,0.07969,2.23807,2.46279,1.52031,0.0013786,0.0013786,0.0013786
4,106.212,1.97968,1.84736,1.42595,0.26673,0.21226,0.1564,0.05371,2.37611,2.36264,1.74957,0.00135826,0.00135826,0.00135826
5,129.547,1.93475,1.78261,1.40107,0.20777,0.14796,0.09219,0.03386,2.58614,2.97921,1.90133,0.00133469,0.00133469,0.00133469
6,152.59,1.8784,1.6775,1.37063,0.41004,0.36276,0.28093,0.13377,1.85783,2.04546,1.36864,0.00131111,0.00131111,0.00131111
7,176.005,1.87837,1.64313,1.36239,0.40885,0.34346,0.26899,0.12179,1.95521,1.87836,1.42354,0.00128753,0.00128753,0.00128753
8,199.279,1.85726,1.63289,1.35327,0.42839,0.36654,0.28309,0.12657,1.93225,1.9563,1.39055,0.00126395,0.00126395,0.00126395
9,222.462,1.83592,1.57444,1.33445,0.4318,0.35821,0.29059,0.12705,1.9528,1.77566,1.38136,0.00124037,0.00124037,0.00124037
10,245.924,1.8298,1.54916,1.32395,0.40599,0.35617,0.29117,0.14753,1.80047,1.76932,1.33115,0.00121679,0.00121679,0.00121679
11,269.346,1.80303,1.53108,1.32562,0.38149,0.36343,0.30177,0.14623,1.789,1.89823,1.31119,0.00119322,0.00119322,0.00119322
12,292.415,1.78661,1.50086,1.3206,0.40853,0.36893,0.31706,0.15258,1.78426,1.69932,1.34513,0.00116964,0.00116964,0.00116964
13,315.812,1.78867,1.51926,1.32272,0.45999,0.37997,0.33634,0.15916,1.81731,1.72445,1.35457,0.00114606,0.00114606,0.00114606
14,339.038,1.77242,1.4623,1.29897,0.42567,0.4137,0.32815,0.15992,1.81064,1.68765,1.3337,0.00112248,0.00112248,0.00112248
15,362.272,1.76797,1.46161,1.29937,0.45548,0.40458,0.32562,0.15538,1.80663,1.64577,1.34925,0.0010989,0.0010989,0.0010989
16,385.653,1.75775,1.44807,1.29879,0.44288,0.39767,0.34422,0.17153,1.71859,1.67073,1.26961,0.00107532,0.00107532,0.00107532
17,408.947,1.74973,1.42917,1.29453,0.45545,0.41419,0.32902,0.16672,1.70549,1.61618,1.26726,0.00105174,0.00105174,0.00105174
18,432.02,1.73244,1.39367,1.2749,0.45945,0.42375,0.37136,0.18653,1.67975,1.56909,1.27517,0.00102817,0.00102817,0.00102817
19,455.178,1.72818,1.3954,1.2754,0.43036,0.42082,0.34471,0.17932,1.69446,1.5389,1.27504,0.00100459,0.00100459,0.00100459
20,478.251,1.70981,1.3814,1.26939,0.49345,0.43219,0.37705,0.18628,1.72948,1.49306,1.30468,0.000981008,0.000981008,0.000981008
21,501.466,1.6948,1.33443,1.25212,0.4973,0.43714,0.38196,0.19576,1.67084,1.57623,1.25688,0.00095743,0.00095743,0.00095743
22,524.661,1.69655,1.33979,1.26022,0.46273,0.42296,0.37398,0.18581,1.69655,1.50119,1.27443,0.000933851,0.000933851,0.000933851
23,547.758,1.69869,1.3346,1.26254,0.48555,0.43337,0.38515,0.18998,1.68056,1.48983,1.26853,0.000910273,0.000910273,0.000910273
24,570.933,1.68254,1.31423,1.25863,0.47974,0.43769,0.38339,0.18464,1.72154,1.46915,1.25615,0.000886694,0.000886694,0.000886694
25,594.12,1.69242,1.30293,1.24616,0.49722,0.45844,0.4051,0.2023,1.68609,1.48343,1.26454,0.000863116,0.000863116,0.000863116
26,617.34,1.66935,1.28904,1.2381,0.4771,0.4507,0.38205,0.19099,1.68108,1.46383,1.25151,0.000839537,0.000839537,0.000839537
27,640.741,1.65703,1.27762,1.23986,0.49811,0.44463,0.38685,0.18344,1.76516,1.49458,1.29904,0.000815959,0.000815959,0.000815959
28,664.298,1.66695,1.28606,1.24728,0.4933,0.43632,0.38767,0.1991,1.66074,1.46427,1.25521,0.00079238,0.00079238,0.00079238
29,687.339,1.65169,1.27395,1.24035,0.47248,0.46733,0.40084,0.20625,1.62268,1.41312,1.24607,0.000768802,0.000768802,0.000768802
30,710.372,1.64251,1.25521,1.23523,0.51369,0.44207,0.40027,0.2037,1.60836,1.40687,1.22134,0.000745223,0.000745223,0.000745223
31,733.497,1.65891,1.24374,1.23098,0.46695,0.46727,0.38878,0.19847,1.6424,1.44464,1.24091,0.000721645,0.000721645,0.000721645
32,756.461,1.64435,1.23844,1.22336,0.48775,0.44491,0.38924,0.20224,1.57356,1.41913,1.21504,0.000698066,0.000698066,0.000698066
33,779.823,1.61132,1.21458,1.20911,0.49212,0.49181,0.41458,0.21808,1.59988,1.46175,1.23408,0.000674488,0.000674488,0.000674488
34,803.458,1.62793,1.22613,1.21818,0.513,0.44466,0.41478,0.21632,1.58728,1.35826,1.215,0.000650909,0.000650909,0.000650909
35,826.414,1.60723,1.20216,1.21717,0.4875,0.46149,0.41623,0.2175,1.59768,1.37131,1.22472,0.000627331,0.000627331,0.000627331
36,849.532,1.60706,1.18333,1.20453,0.53261,0.47884,0.44059,0.22975,1.5887,1.36308,1.21977,0.000603752,0.000603752,0.000603752
37,872.842,1.59413,1.17911,1.20163,0.51799,0.4722,0.42087,0.22542,1.55676,1.371,1.21197,0.000580174,0.000580174,0.000580174
38,896.259,1.60074,1.1644,1.1883,0.50444,0.49181,0.43407,0.22922,1.54263,1.32829,1.20111,0.000556595,0.000556595,0.000556595
