epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0831,2.323,3.47258,0.00941,0.32096,0.25002,0.19992,0.07031,2.07781,4.14252,0.01125,0.000472979,0.000472979,0.000472979
2,74.6082,2.21756,2.53302,0.00877,0.32196,0.33376,0.24118,0.08743,2.11949,2.98029,0.01255,0.000933649,0.000933649,0.000933649
3,105.775,2.1997,2.2688,0.00867,0.30963,0.34179,0.24099,0.09191,2.14619,2.72356,0.01269,0.0013786,0.0013786,0.0013786
4,136.446,2.21532,2.14471,0.00877,0.34148,0.33003,0.26271,0.1127,2.04289,2.29573,0.01161,0.00135826,0.00135826,0.00135826
5,167.252,2.16989,2.05728,0.00871,0.35164,0.32929,0.25391,0.10875,2.10008,2.08545,0.0122,0.00133469,0.00133469,0.00133469
6,197.448,2.13814,1.98158,0.00856,0.40809,0.39517,0.324,0.14959,1.9731,1.96859,0.01128,0.00131111,0.00131111,0.00131111
7,228.125,2.14506,1.93727,0.00843,0.37264,0.37677,0.29179,0.13672,1.99569,2.04752,0.01254,0.00128753,0.00128753,0.00128753
8,260.183,2.14857,1.91902,0.00855,0.41699,0.3988,0.33226,0.1547,1.98883,2.03016,0.01141,0.00126395,0.00126395,0.00126395
9,292.185,2.12197,1.8745,0.00819,0.39473,0.42552,0.33583,0.15582,1.97124,1.93801,0.01137,0.00124037,0.00124037,0.00124037
10,323.355,2.1259,1.82992,0.0081,0.38963,0.38536,0.28886,0.139,2.01697,2.07482,0.01144,0.00121679,0.00121679,0.00121679
11,354.566,2.11197,1.80722,0.00825,0.4309,0.43017,0.35269,0.16308,1.92282,1.88676,0.01068,0.00119322,0.00119322,0.00119322
12,384.927,2.0763,1.76759,0.00819,0.43635,0.41955,0.36067,0.17663,1.86869,1.7553,0.01049,0.00116964,0.00116964,0.00116964
13,415.307,2.08991,1.78018,0.0083,0.42502,0.42494,0.3493,0.16349,1.95913,1.80034,0.01121,0.00114606,0.00114606,0.00114606
14,445.451,2.08153,1.74392,0.00794,0.45879,0.44834,0.38044,0.19037,1.85466,1.721,0.01019,0.00112248,0.00112248,0.00112248
15,475.772,2.0769,1.71702,0.00795,0.43464,0.43105,0.38142,0.19249,1.87625,1.96181,0.01075,0.0010989,0.0010989,0.0010989
16,506.302,2.06264,1.72131,0.00801,0.46362,0.42657,0.37582,0.19056,1.84382,1.73079,0.01008,0.00107532,0.00107532,0.00107532
17,536.577,2.0622,1.70355,0.00802,0.46373,0.4437,0.41348,0.2042,1.87766,1.70985,0.01026,0.00105174,0.00105174,0.00105174
18,566.856,2.049,1.66177,0.00764,0.49072,0.45671,0.41339,0.20589,1.85433,1.60066,0.01,0.00102817,0.00102817,0.00102817
19,597.394,2.04046,1.65364,0.00767,0.4932,0.4564,0.41569,0.2102,1.83727,1.64502,0.01016,0.00100459,0.00100459,0.00100459
20,627.762,2.0203,1.64053,0.00767,0.45963,0.45979,0.40567,0.20036,1.89639,1.69246,0.01055,0.000981008,0.000981008,0.000981008
21,658.195,2.02513,1.60255,0.00746,0.48718,0.47111,0.43053,0.20656,1.85513,1.6415,0.01039,0.00095743,0.00095743,0.00095743
22,688.417,2.01703,1.60184,0.00744,0.50702,0.45531,0.42891,0.20866,1.86041,1.58004,0.01033,0.000933851,0.000933851,0.000933851
23,718.87,2.02348,1.60052,0.0075,0.49779,0.46863,0.4217,0.21508,1.82261,1.61909,0.00984,0.000910273,0.000910273,0.000910273
24,749.168,1.99874,1.57792,0.00756,0.49907,0.46519,0.43023,0.21391,1.85025,1.5516,0.01008,0.000886694,0.000886694,0.000886694
25,779.795,2.02287,1.57033,0.00726,0.5196,0.48409,0.43911,0.22039,1.82475,1.54025,0.01012,0.000863116,0.000863116,0.000863116
26,810.237,1.99381,1.54731,0.00723,0.53444,0.50053,0.45451,0.23387,1.77166,1.57723,0.00915,0.000839537,0.000839537,0.000839537
27,840.446,1.96872,1.53679,0.00735,0.53444,0.48778,0.4581,0.2392,1.77732,1.51082,0.00963,0.000815959,0.000815959,0.000815959
28,871.368,1.98772,1.54696,0.00743,0.52374,0.50558,0.46944,0.23981,1.76327,1.50829,0.00962,0.00079238,0.00079238,0.00079238
29,901.723,1.96599,1.52926,0.0074,0.53868,0.48604,0.46679,0.23987,1.76047,1.528,0.00941,0.000768802,0.000768802,0.000768802
30,931.795,1.95866,1.52157,0.00732,0.53643,0.4912,0.47307,0.23967,1.78183,1.49116,0.00951,0.000745223,0.000745223,0.000745223
31,962.26,1.98733,1.50068,0.00711,0.50514,0.50737,0.46005,0.24045,1.75918,1.56037,0.00982,0.000721645,0.000721645,0.000721645
32,992.613,1.97329,1.49266,0.00713,0.5265,0.49006,0.47191,0.24355,1.772,1.46648,0.00995,0.000698066,0.000698066,0.000698066
33,1023.17,1.93571,1.47595,0.00703,0.51776,0.5157,0.46557,0.24574,1.76597,1.50576,0.00949,0.000674488,0.000674488,0.000674488
34,1053.86,1.95685,1.47669,0.00696,0.5356,0.50854,0.4818,0.25628,1.73276,1.45066,0.00913,0.000650909,0.000650909,0.000650909
35,1084.08,1.93208,1.46345,0.00717,0.54851,0.50206,0.48546,0.2552,1.74328,1.41712,0.00938,0.000627331,0.000627331,0.000627331
36,1114.27,1.93328,1.44548,0.00688,0.5507,0.51205,0.48539,0.25156,1.73871,1.42808,0.00921,0.000603752,0.000603752,0.000603752
37,1144.48,1.91705,1.4321,0.00678,0.52294,0.50758,0.48,0.25172,1.73383,1.46252,0.0092,0.000580174,0.000580174,0.000580174
38,1175.19,1.95019,1.42737,0.00649,0.54062,0.50425,0.48681,0.25818,1.72643,1.43526,0.00934,0.000556595,0.000556595,0.000556595
39,1205.93,1.92214,1.41609,0.00684,0.53737,0.51119,0.49166,0.2613,1.69644,1.43055,0.0088,0.000533017,0.000533017,0.000533017
40,1236.45,1.92293,1.41323,0.00667,0.54798,0.49462,0.48839,0.25604,1.74028,1.42726,0.00913,0.000509438,0.000509438,0.000509438
41,1266.32,1.90493,1.41251,0.00682,0.53505,0.51031,0.49125,0.26369,1.71727,1.39079,0.00912,0.00048586,0.00048586,0.00048586
42,1296.36,1.87706,1.38593,0.00685,0.56008,0.49354,0.48617,0.25539,1.76226,1.44712,0.00948,0.000462281,0.000462281,0.000462281
