timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:18:52+00:00,0,4,2189,12282,51,29.46
2026-08-18T20:18:57+00:00,0,0,2215,12282,49,23.22
2026-08-18T20:19:02+00:00,0,0,2215,12282,48,22.21
2026-08-18T20:19:07+00:00,0,0,2211,12282,47,21.86
2026-08-18T20:19:13+00:00,0,0,2211,12282,47,22.12
2026-08-18T20:19:18+00:00,0,1,2211,12282,46,21.91
2026-08-18T20:19:23+00:00,0,11,2211,12282,46,22.05
2026-08-18T20:19:28+00:00,0,0,4171,12282,46,27.85
2026-08-18T20:19:33+00:00,0,0,8007,12282,48,47.02
2026-08-18T20:19:38+00:00,0,88,11337,12282,60,147.87
2026-08-18T20:19:43+00:00,0,88,11337,12282,64,153.13
2026-08-18T20:19:48+00:00,0,80,11879,12282,68,144.78
2026-08-18T20:19:53+00:00,0,88,11879,12282,68,148.53
2026-08-18T20:19:58+00:00,0,86,11879,12282,69,149.68
2026-08-18T20:20:03+00:00,0,83,11879,12282,68,152.20
2026-08-18T20:20:09+00:00,0,0,11879,12282,54,48.90
2026-08-18T20:20:14+00:00,0,0,3781,12282,52,42.95
2026-08-18T20:20:19+00:00,0,0,8011,12282,54,53.98
2026-08-18T20:20:24+00:00,0,83,8775,12282,69,154.71
2026-08-18T20:20:29+00:00,0,77,9795,12282,70,153.41
2026-08-18T20:20:34+00:00,0,83,11417,12282,71,153.07
2026-08-18T20:20:39+00:00,0,88,11419,12282,70,160.21
2026-08-18T20:20:44+00:00,0,82,11419,12282,70,161.59
2026-08-18T20:20:49+00:00,0,93,7175,12282,67,123.79
2026-08-18T20:20:54+00:00,0,81,8745,12282,71,157.67
2026-08-18T20:20:59+00:00,0,88,10047,12282,72,160.64
2026-08-18T20:21:04+00:00,0,83,10047,12282,72,160.36
2026-08-18T20:21:09+00:00,0,94,10047,12282,70,162.58
2026-08-18T20:21:14+00:00,0,76,10047,12282,71,160.36
2026-08-18T20:21:19+00:00,0,81,10047,12282,71,160.30
2026-08-18T20:21:24+00:00,0,81,7411,12282,68,142.80
2026-08-18T20:21:29+00:00,0,84,10121,12282,70,157.08
2026-08-18T20:21:34+00:00,0,82,10121,12282,72,156.75
2026-08-18T20:21:40+00:00,0,87,10121,12282,68,158.86
2026-08-18T20:21:45+00:00,0,84,10123,12282,74,159.29
2026-08-18T20:21:50+00:00,0,77,10123,12282,70,160.06
2026-08-18T20:21:55+00:00,0,79,8085,12282,65,131.18
2026-08-18T20:22:00+00:00,0,84,7985,12282,72,161.54
2026-08-18T20:22:05+00:00,0,83,9281,12282,72,158.72
2026-08-18T20:22:10+00:00,0,77,11791,12282,74,159.87
2026-08-18T20:22:15+00:00,0,81,11791,12282,71,160.31
2026-08-18T20:22:20+00:00,0,82,11791,12282,72,162.59
2026-08-18T20:22:25+00:00,0,27,8033,12282,64,125.32
2026-08-18T20:22:30+00:00,0,95,8273,12282,72,161.43
2026-08-18T20:22:35+00:00,0,89,11365,12282,73,162.59
2026-08-18T20:22:40+00:00,0,99,11863,12282,68,136.46
2026-08-18T20:22:45+00:00,0,89,11863,12282,70,152.37
2026-08-18T20:22:50+00:00,0,90,11863,12282,71,157.37
2026-08-18T20:22:55+00:00,0,89,11863,12282,72,154.33
2026-08-18T20:23:00+00:00,0,91,7305,12282,69,95.88
2026-08-18T20:23:05+00:00,0,90,9475,12282,67,155.50
2026-08-18T20:23:11+00:00,0,79,11155,12282,72,159.57
2026-08-18T20:23:16+00:00,0,89,11155,12282,73,158.59
2026-08-18T20:23:21+00:00,0,84,11155,12282,70,159.51
2026-08-18T20:23:26+00:00,0,75,11157,12282,71,159.56
2026-08-18T20:23:31+00:00,0,28,7965,12282,63,128.28
2026-08-18T20:23:36+00:00,0,95,8503,12282,69,161.82
