epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4072,2.31924,3.3574,1.28041,0.33699,0.14735,0.1197,0.04289,2.14753,4.48867,1.41555,0.000472979,0.000472979,0.000472979
2,87.5979,2.26982,2.61895,1.27867,0.26605,0.24043,0.17557,0.06599,2.24992,5.14421,1.46867,0.000933649,0.000933649,0.000933649
3,119.393,2.28492,2.40131,1.27738,0.19577,0.20097,0.10109,0.02968,2.3888,3.92985,1.52187,0.0013786,0.0013786,0.0013786
4,151.297,2.29684,2.3253,1.27673,0.24953,0.21584,0.1534,0.05996,2.33507,3.40179,1.4311,0.00135826,0.00135826,0.00135826
5,183.088,2.24364,2.23325,1.26542,0.26182,0.22187,0.15395,0.06245,2.27106,2.98861,1.43246,0.00133469,0.00133469,0.00133469
6,215.817,2.21524,2.13584,1.25673,0.30827,0.27231,0.18458,0.07567,2.16606,2.80536,1.39731,0.00131111,0.00131111,0.00131111
7,247.714,2.19586,2.08674,1.23501,0.30737,0.29262,0.20578,0.08723,2.16816,2.38166,1.36667,0.00128753,0.00128753,0.00128753
8,279.761,2.19808,2.09203,1.23874,0.32187,0.28516,0.21891,0.09453,2.13263,2.45559,1.38452,0.00126395,0.00126395,0.00126395
9,312.062,2.17197,2.01693,1.22264,0.34434,0.34708,0.25018,0.10955,2.07936,2.4515,1.33101,0.00124037,0.00124037,0.00124037
10,344.203,2.18356,1.98044,1.21749,0.38171,0.34163,0.25912,0.11721,2.05665,2.2311,1.29945,0.00121679,0.00121679,0.00121679
11,376.106,2.1581,1.94337,1.21249,0.37569,0.33177,0.28453,0.13027,2.01586,2.15347,1.2734,0.00119322,0.00119322,0.00119322
12,407.824,2.13655,1.92843,1.21921,0.37388,0.34598,0.28219,0.12971,2.02697,2.24324,1.29797,0.00116964,0.00116964,0.00116964
13,439.483,2.13871,1.94737,1.21204,0.38716,0.33703,0.28433,0.13164,1.96735,2.0303,1.29837,0.00114606,0.00114606,0.00114606
14,471.58,2.12399,1.88802,1.20041,0.3989,0.34206,0.27459,0.11559,2.13108,2.11837,1.35619,0.00112248,0.00112248,0.00112248
15,503.299,2.12167,1.86994,1.19893,0.36816,0.35747,0.29543,0.14009,1.97422,2.14365,1.27641,0.0010989,0.0010989,0.0010989
16,535.13,2.11037,1.85835,1.19856,0.40173,0.37255,0.29982,0.145,1.96656,2.05076,1.27911,0.00107532,0.00107532,0.00107532
17,567.342,2.11235,1.84804,1.19747,0.42466,0.37356,0.31583,0.15042,1.94882,1.94472,1.25776,0.00105174,0.00105174,0.00105174
18,599.264,2.099,1.80659,1.1835,0.4343,0.36244,0.30835,0.15007,1.98548,1.89022,1.2842,0.00102817,0.00102817,0.00102817
19,630.862,2.08727,1.79116,1.18252,0.41909,0.40856,0.32211,0.16094,1.94299,1.86836,1.26098,0.00100459,0.00100459,0.00100459
20,662.721,2.07138,1.78399,1.18254,0.43974,0.39576,0.32808,0.15539,1.99016,1.98817,1.28957,0.000981008,0.000981008,0.000981008
